NEW!;NEW!
Below information about plugins from SpurIT;Below information about plugins from SpurIT
Installed Plugins;Installed Plugins
Free;Free
your version:;your version:
last version:;last version:
N/A;N/A
More...;More...
Not Installed Paid Plugins;Not Installed Paid Plugins
Not Installed Free Plugins;Not Installed Free Plugins
artarticle;article
Advanced Articles;Advanced Articles
ADVANCED_ARTICLES_DESCRIPTION;Advanced Articles plugin allows to post articles with photos, comments and have a wide range of additional features.
Article has been added.;Article has been added.
Article has been edited.;Article has been edited.
Activate;Activate
Deactivate;Deactivate
Your changes have been saved.;Your changes have been saved.
Photo has been deleted.;Photo has been deleted.
Max file size limit exceeded (probably).;Max file size limit exceeded (probably).
Invalid request method;Invalid request method
No file;No file
Invalid Upload;Invalid Upload
"%s article found";"%s article found";"%s articles found"
ID;ID
Title;Title
Owner;Owner
Views;Views
Comments;Comments
Likes;Likes
Date;Date
Options;Options
Active;Active
Inactive;Inactive
Draft;Draft
Featured;Featured
Not Featured;Not Featured
Sponsored;Sponsored
Not Sponsored;Not Sponsored
edit;edit
delete;delete
Delete;Delete
Delete Selected;Delete Selected
Add New Category;Add New Category
"%d category found";"%d category found";"%d categories found"
Category Name;Category Name
You have already created the maximum number of articles allowed.;You have already created the maximum number of articles allowed.
If you would like to create a new article, please %1$sdelete%2$s an old one first.;If you would like to create a new article, please %1$sdelete%2$s an old one first.
Photos;Photos
View Photos;View Photos
Upload Photos;Upload Photos
Manage Photos;Manage Photos
This article does not have any photos.;This article does not have any photos.
Get started by %1$suploading%2$s a new photo!;Get started by %1$suploading%2$s a new photo!
Description;Description
Delete Photo;Delete Photo
Article Cover;Article Cover
Save Changes;Save Changes
You do not have any articles.;You do not have any articles.
Get started by %1$sposting%2$s a new article!;Get started by %1$sposting%2$s a new article!
Nobody has created a article with that criteria.;Nobody has created a article with that criteria.
Be the first to %1$sadd%2$s a new article!;Be the first to %1$sadd%2$s a new article!
featured;featured
sponsored;sponsored
"%s view";"%s view";"%s views"
"%s comment";"%s comment";"%s comments"
"%s like";"%s like";"%s likes"
Publish Article;Publish Article
Add Photos;Add Photos
Edit;Edit
Delete;Delete
Take Print;Take Print
Posted by;Posted by
ADD TAG;ADD TAG
Type a tag or select a name from the list.;Type a tag or select a name from the list.
Photo %1$s of %2$s;Photo %1$s of %2$s
Prev;Prev
Next;Next
Added by;Added by
Tagged:;Tagged:
Add Tag;Add Tag
Share;Share
Report;Report
Make Profile Photo;Make Profile Photo
Articles;Articles
No one will be able to view this article until you %1$sactive%2$s it!;No one will be able to view this article until you %1$sactive%2$s it!
Filed in;Filed in
Article Tags:;Article Tags:
Print Article;Print Article
Details;Details
posted by;posted by
All Categories;All Categories
Nobody has created an article yet.;Nobody has created an article yet.
View %s\'s articles;View %s\'s articles
Explore Tags;Explore Tags
updated;updated
"%s article";"%s article";"%s articles"

Count;Count
number of items to show;number of items to show

Featured Articles;Featured Articles
Category;Category
Slideshow Interval (sec);Slideshow Interval (sec)
Sort By;Sort By
Created Date;Created Date
Title;Title
Most Commented;Most Commented
Most Liked;Most Liked
Most Viewed;Most Viewed
Randomized;Randomized

Popular Tags;Popular Tags
Show Link Explore Tags;Show Link Explore Tags
Yes;Yes
No;No
Tag Name;Tag Name
Count Article;Count Article

Profile Articles;Profile Articles
Number of articles;Number of articles
the number of articles to display by default;the number of articles to display by default

Random Articles;Random Articles

Recent Articles;Recent Articles

Sponsored Articles;Sponsored Articles

Most Viewed;Most Viewed

Add Category;Add Category
Category name;Category name
Category URL;Category URL
This URL may only contain alphanumeric characters and dashes - any other characters will be stripped.;This URL may only contain alphanumeric characters and dashes - any other characters will be stripped.
cancel;cancel
or;or

Delete Category;Delete Category
Are you sure you want to delete this category?;Are you sure you want to delete this category?

Edit Category;Edit Category
Status;Status
Search;Search
Member Level Settings;Member Level Settings
ADVANCEDARTICLES_LEVEL_DESCRIPTION;These settings are applied on a per member level basis. Start by selecting the member level you want to modify, then adjust the settings for that level below.
Select Member Level;Select Member Level
Allow Viewing of Articles;Allow Viewing of Articles
Do you want to let users view articles? If set to no, some other settings on this page may not apply.;Do you want to let users view articles? If set to no, some other settings on this page may not apply.
Yes, allow members to view all articles, even private ones.;Yes, allow members to view all articles, even private ones.
Yes, allow members to view articles.;Yes, allow members to view articles.
No, do not allow articles to be viewed.;No, do not allow articles to be viewed.
Allow Commenting of Articles;Allow Commenting of Articles
Do you want to let users comment articles? If set to no, some other settings on this page may not apply.;Do you want to let users comment articles? If set to no, some other settings on this page may not apply.
Yes, allow members to comment articles.;Yes, allow members to comment articles.
No, do not allow members to comment articles.;No, do not allow members to comment articles.
Allow Creation of Articles;Allow Creation of Articles
Do you want to let users create articles? If set to no, some other settings on this page may not apply.;Do you want to let users create articles? If set to no, some other settings on this page may not apply.
Yes, allow members to create articles.;Yes, allow members to create articles.
No, do not allow articles to be created.;No, do not allow articles to be created.
Allow Editing of Articles;Allow Editing of Articles
Do you want to let users edit articles? If set to no, some other settings on this page may not apply.;Do you want to let users edit articles? If set to no, some other settings on this page may not apply.
Yes, allow members to edit all articles.;Yes, allow members to edit all articles.
Yes, allow members to edit their own articles.;Yes, allow members to edit their own articles.
No, do not allow to edit their articles.;No, do not allow to edit their articles.
Allow Deletion of Articles;Allow Deletion of Articles
