"NETWORK_VIEWS_SCRIPTS_ADMINMANAGE_INDEX_DESCRIPTION";"Networks are generally used for determining what members see in the ""what's new"" feed, letting members associate with each other based on common profile information (without needing to be friends directly), and serving advertisements to specific groups of members. Each member can join one or more networks if you allow them to, and their networks will be shown on their profile. If you decide to have networks, be sure that they relate to your community's theme. For example, if your community has members from various countries, you can create a network for each country. If you want your members to see recent posts from other people in their networks (even if they're not yet friends with each other), you can adjust that setting %s."
"Groups";"Associations"
"View All Groups";"View All Associations"
"group";"associations";"associations"
"%s group";"%s associations";"%s associations"
"Search Groups:";"Search Associations:"
"Tip: %1$sClick here%2$s to create a group or %3$sbrowse%2$s for groups to join!";"Tip: %1$sClick here%2$s to create a group or %3$sbrowse%2$s for associations to join!"
"All My Groups";"All My Associations"
"Only Groups I Lead";"Only Associations I Lead"
"_ACTIVITY_ACTIONTYPE_GROUP_CREATE";"New associations"
"ACTIVITY_TYPE_COMMENT_GROUP";"When someone comments on one of my associations."
"ACTIVITY_TYPE_LIKE_GROUP";"When someone likes one of my associations."
"Allow Viewing of Groups?";"Allow Viewing of associations?"
"GROUP_FORM_ADMIN_LEVEL_VIEW_DESCRIPTION";"Do you want to let users view associations? If set to no, some other settings on this page may not apply."
"No, do not allow groups to be viewed.";"No, do not allow associations to be viewed."
"Yes, allow viewing and subscription of groups.";"Yes, allow viewing and subscription of associations."
"Yes, allow members to view all groups, even private ones.";"Yes, allow members to view all associations, even private ones."
"Allow Creation of Groups?";"Allow Creation of associations?"
"GROUP_FORM_ADMIN_LEVEL_CREATE_DESCRIPTION";"Do you want to let users create associations? If set to no, some other settings on this page may not apply. This is useful if you want users to be able to view associations and manage their subscriptions, but only want certain levels to be able to create groups."
"No, do not allow groups to be created.";"No, do not allow associations to be created."
"Yes, allow creation of groups.";"Yes, allow creation of associations."
"Allow Editing of Groups?";"Allow Editing of Associations?"
"Do you want to let users edit and delete groups?";"Do you want to let users edit and delete associations?"
"No, do not allow groups to be edited.";"No, do not allow associations to be edited."
"Yes, allow  members to edit their own groups.";"Yes, allow  members to edit their own associations."
"Yes, allow members to edit everyone's groups.";"Yes, allow members to edit everyone's associations."
"GROUP_FORM_ADMIN_LEVEL_AUTHPHOTO_DESCRIPTION";"Your users can choose from any of the options checked below when they decide who can upload photos to their associations. If you do not check any options, settings will default to the last saved configuration. If you select only one option, members of this level will not have a choice."
"GROUP_FORM_ADMIN_LEVEL_AUTHEVENT_DESCRIPTION";"Your users can choose from any of the options checked below when they decide who can create events in their associations. If you do not check any options, settings will default to the last saved configuration. If you select only one option, members of this level will not have a choice."
"My Groups";"My associations"
"Are you sure you want to delete the selected groups?";"Are you sure you want to delete the selected associations?"
"GROUP_VIEWS_SCRIPTS_ADMINMANAGE_INDEX_DESCRIPTION";"This page lists all of the group entries your users have posted. You can use this page to monitor these associations and delete offensive material if necessary. Entering criteria into the filter fields will help you find specific associations entries. Leaving the filter fields blank will show all the associations entries on your social network."
"GROUP_VIEWS_SCRIPTS_ADMINSETTINGS_CATEGORIES_DESCRIPTION";"If you want to allow your users to categorize their associations, create the categories below. This feature is useful if you want to list all your users' associations that If you have no categories, your users will not be given the option of assigning a association category."
"Browse Groups";"Browse associations"
"Groups Plugin";"Associations Plugin"
"Manage Groups";"Manage Associations"
"Allow Deletion of Groups?";"Allow Deletion of Associations?"
"Do you want to let members delete groups? If set to no, some other settings on this page may not apply.";"Do you want to let members delete associations? If set to no, some other settings on this page may not apply."
"Yes, allow members to delete their own groups.";"Yes, allow members to delete their own associations."
"No, do not allow members to delete their groups.";"No, do not allow members to delete their associations."
"Allow Commenting on Groups?";"Allow Commenting on Associations?"
"Do you want to let members of this level comment on groups?";"Do you want to let members of this level comment on associations?"
"Yes, allow members to comment on groups.";"Yes, allow members to comment on associations."
"No, do not allow members to comment on groups.";"No, do not allow members to comment on associations."
"Profile Groups";"Profile Associations"
"ITEM_TYPE_GROUP";"Associations"
"Everyone's Groups";"Everyone's Associations"
"You have not joined any groups yet.";"You have not joined any associations yet."
"There are no groups yet.";"There are no associations yet."
"Inbox";"Inbox"
"Sent Messages";"Sent Messages"
"%s Purity Template";"%s Rentstarz"
"";""
"USER_FORM_ADMIN_SIGNUP_TERMS_DESCRIPTION";"Require members to agree to your terms of service?  You can modifying your terms of service by editing the _CORE_TERMS_OF_SERVICE language variable in the application/languages/en/core.csv file."
