"Only Members With Photos";"Member With Photos"
"Only Online Members";"Only Online Members"
"ynbootstrap_join_now_title";"Connect with friends with SocialEngine Bootstrap3 with YouNet."
"ynbootstrap_join_now_description";"<ul class=""list-unstyled margin-bottom-20""><li><h3><i class=""icon-ok color-green""></i>Live it - <small>Share a story, a picture or a video with friends, family or people you have just met.</small></h3></li><li><h3><i class=""icon-ok color-green""></i>Dream it - <small>Get all the information you need to achieve your dreams from people who have been there.</small></h3></li><li><h3><i class=""icon-ok color-green""></i>Love it - <small>You will love our features which will improve your online social experience.</small></h3></li></ul>"
"ynbootstrap_join_now_button";"Join Now"
"ynbootstrap_about";"About"
"ynbootstrap_footer_message";"YouBootstraps is an incredibly beautiful responsive Bootstrap Template for corporate and creative professionals.<br/>It works on all major web browsers, tablets and phone. <br/> Award winning digital agency. We bring a personal and effective approach to every project we work on, which is why. YouBootstraps is an incredibly beautiful responsive Bootstrap Template for corporate professionals."
"ynbootstrap_footer_address";"Floor 2, Lu Gia Plaza, 70 Lu Gia St., Dist 11 <br>		Ho Chi Minh City, Vietnam <br>			Phone: +84(0) 8 626-464-88 <br>			Fax: +84(0) 8 62646489 <br>		Email: <a href=""mailto:info@younetco.com"" >younetco.com</a>"
"ynboostrap_social_rss_href";"#"
"ynboostrap_social_facebook_href";"#"
"ynboostrap_social_twitter_href";"#"
"ynboostrap_social_plus_href";"#"
"ynboostrap_social_pinterest_href";"#"
"ynboostrap_social_linkedin_href";"#"
"ynboostrap_social_vimeo_href";"#"
"%s EVENTSITE";"%s EVENTSITE"
"All";"All"
"Start time";"Start time"
"End time";"End time"
"Sort by";"Sort by"
"Recently created";"Recently created"
"Most popular";"Most popular"
"Radius (mile)..";"Radius (mile).."
"Search events..";"Search events.."
"Advance search";"Advance search"
"%s guest";"%s guest";"%s guests"
"More";"More"
"Friend Requests";"Friend Requests"
"See All Friend Requests";"See All Friend Requests"
"Send a New Message";"Send a New Message"
"See All Messages";"See All Messages"
"Notifications";"Notifications"
"See All Notifications";"See All Notifications"
"Me";"Me"
"Organizing";"Organizing"
"Attending";"Attending"
"Maybe Attending";"Maybe Attending"
"Invited";"Invited"
"More";"More"
"Events";"Events"
"%s event found";"%s event found";"%s events found"
"%1s and %2s are attending";"%1s and %2s are attending"
"%s is attending";"%s is attending"
"Send request";"Send request"
"Join";"Join"
"Leave";"Leave"
"Cancel request";"Cancel request"
"Accept invite";"Accept invite"
"Ignore invite";"Ignore invite"
"There were no events found matching your search criteria.";"There were no events found matching your search criteria."
"Nobody has created an event yet.";"Nobody has created an event yet."
"Be the first to %1$screate%2$s one!";"Be the first to %1$screate%2$s one!"
"View More";"View More"
"Loading ...";"Loading ..."
"Friend request has been canceled.";"Friend request has been canceled."
"Friend request accepted.";"Friend request accepted."
"%s mutual friend";"%s mutual friend";"%s mutual friends"
"Confirm";"Confirm"
"Not Now";"Not Now"
"You have no new friend requests.";"You have no new friend requests."
"You have no new messages.";"You have no new messages."
"Friend Request (%d)";"Friend Request (%d)";"Friend Requests (%d)"
"You have no requests.";"You have no requests."
"This event has %1$s guest";"This event has %1$s guest";"This event has %1$s guests"
"Remove Member";"Remove Member"
"Approve Request";"Approve Request"
"Reject Request";"Reject Request"
"Cancel Invite";"Cancel Invite"
"Not Attending";"Not Attending"
"Maybe Attending";"Maybe Attending"
"Attending";"Attending"
"Awaiting Reply";"Awaiting Reply"
"You have no new updates.";"You have no new updates."
"Your Notifications";"Your Notifications"
"You have no notifications.";"You have no notifications."
"Mark All Read";"Mark All Read"

"%s new user registered";"%s new users registered";"%s new users registered"
"Video ";"Video ";"Videos " 
"Album ";"Album ";"Albums " 

"photo_user";"User";"Users"
"photo_photo";"Photo";"Photos"
"User uploaded;"User uploaded"
"Users uploaded";"Users uploaded"
