"%s Christmas Template";"%s Christmas Template"
"Powered by %1$s";"Powered by %1$s"
"SocialEngine Community Software";"SocialEngine Community Software"
"Category";"Category"
"Messages";"Messages"
"See All Messages";"See All Messages"
"Friend Requests";"Friend Requests"
"See All Friend Requests";"See All Friend Requests"
"Notifications";"Notifications"
"See All Notifications";"See All Notifications"
"more";"more"
"Enter keyword to search...";"Enter keyword to search..."
"Introduction";"Introduction"
"YouNet SocialEngine is a full service stop for SocialEngine including Module/Plugin, Template, Customization, Custom Design and Dedicated Developer. With more than 100 staffs, 300+ social network projects completed and own defined consulting and development process, we can satisfy most difficult, complex and large scale project requests from customers.";"YouNet SocialEngine is a full service stop for SocialEngine including Module/Plugin, Template, Customization, Custom Design and Dedicated Developer. With more than 100 staffs, 300+ social network projects completed and own defined consulting and development process, we can satisfy most difficult, complex and large scale project requests from customers."
"Read more";"Read more"
"Responsive Purity Template";"Responsive Purity Template"
"Responsive Purity Template is an magnificent template with exquisite design and flexibility. Its breath taking and modern look is complimented with ability to configure every component on landing page. It look simple yet elegant. With Responsive feature built into this theme, its beauty is unscathed when viewed on different mobile devices with different screen size.";"Responsive Purity Template is an magnificent template with exquisite design and flexibility. Its breath taking and modern look is complimented with ability to configure every component on landing page. It look simple yet elegant. With Responsive feature built into this theme, its beauty is unscathed when viewed on different mobile devices with different screen size."
"Modern Features";"Modern Features"
"Inspired Thinking. Ask smarter questions, push for innovative solutions and believe in the power of creativity. Be consistently open and honest. Be true to ourselves and our values. Find, stimulate and maintain the best minds.";"Inspired Thinking. Ask smarter questions, push for innovative solutions and believe in the power of creativity. Be consistently open and honest. Be true to ourselves and our values. Find, stimulate and maintain the best minds."
"Social Engine";"Social Engine"
"SocialEngine is the best way to create your own social website or online community.<br />No coding or design skills needed. Launch in minutes.";"SocialEngine is the best way to create your own social website or online community.<br />No coding or design skills needed. Launch in minutes."
"Our Modules";"Our Modules"
"The best solution for your business";"The best solution for your business"
"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo.";"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo."
"Responsive Purity Template";"Responsive Purity Template"
"Modern Purity Responsive<br/>3 Predefined color skins<br/>Modern and simple design<br/>Scales and adaps to any resolution<br/>Bootstrap framework";"Modern Purity Responsive<br/>3 Predefined color skins<br/>Modern and simple design<br/>Scales and adaps to any resolution<br/>Bootstrap framework"
